Event,Ardn_time_ms,ADC,SiPM_mV,Deadtime_ms,Temp_C
186,116471,225,38.48,928,22.72
187,116781,105,22.39,933,22.83
188,116864,207,35.26,938,23.15
189,117181,132,24.63,943,23.05
190,117732,53,16.22,949,22.83
191,118294,422,97.97,954,23.15
192,118380,286,49.78,959,22.94
193,119095,357,68.97,964,22.83
194,119242,52,16.04,969,23.05
195,119471,67,18.51,974,22.72
196,119567,415,95.00,979,22.83
197,119577,304,53.73,984,22.72
198,119922,248,42.69,989,22.94
199,121696,295,51.75,995,22.83
200,122592,99,21.91,1000,22.83
201,123021,67,18.51,1005,23.05
202,124021,113,23.02,1011,22.72
203,125168,462,120.87,1016,22.83
204,125552,250,43.04,1021,22.72
205,126104,114,23.10,1027,22.94
206,126828,88,20.96,1032,22.83
207,127413,71,19.06,1037,22.94
208,127797,192,32.67,1042,22.72
209,128312,115,23.18,1047,22.72
210,128668,122,23.75,1052,22.72
211,130255,152,26.78,1058,22.94
212,130644,63,17.91,1063,22.83
213,131605,182,31.03,1069,22.83
214,131716,57,16.93,1074,22.72
215,131831,252,43.42,1079,22.83
216,132291,387,81.05,1085,22.72
217,133307,263,45.37,1090,22.62
218,134141,79,20.03,1096,22.72
219,134239,384,80.08,1101,22.62
220,136493,70,18.93,1106,22.62
221,136784,505,145.23,1112,22.72
222,136932,255,43.96,1118,22.72
223,137007,359,69.86,1123,22.83
224,137424,209,35.61,1128,22.72
225,137976,96,21.67,1134,22.72
226,138053,319,57.64,1139,22.62
227,138266,61,17.60,1144,22.72
228,138552,71,19.06,1150,22.62
229,138643,71,19.06,1155,22.72
230,139283,51,15.86,1160,22.72
231,139339,78,19.92,1165,22.72
232,140455,51,15.86,1170,22.94
233,140539,492,134.92,1175,22.83
234,140595,63,17.91,1181,22.83
235,141135,103,22.23,1187,22.72
236,141912,82,20.36,1192,22.72
237,141959,112,22.94,1197,22.62
238,143112,57,16.93,1202,22.72
239,143254,94,21.50,1207,22.83
240,143854,57,16.93,1212,22.51
241,144865,51,15.86,1217,22.83
242,145008,60,17.43,1222,22.72
243,145293,51,15.86,1228,22.51
244,146441,334,61.44,1233,22.51
245,146709,115,23.18,1238,22.72
246,147552,71,19.06,1243,22.72
247,148510,174,29.79,1248,22.62
248,150370,97,21.75,1253,22.51
