Event,Ardn_time_ms,ADC,SiPM_mV,Deadtime_ms,Temp_C
186,97920,61,17.60,927,23.15
187,98056,378,77.13,932,23.15
188,98215,127,24.18,937,23.37
189,98810,49,15.48,942,23.15
190,99203,76,19.69,947,23.15
191,99439,92,21.32,952,23.15
192,100156,51,15.86,957,23.37
193,100198,89,21.05,962,23.15
194,100450,89,21.05,967,23.15
195,100813,78,19.92,972,23.37
196,101385,63,17.91,977,23.15
197,101561,185,31.51,982,23.15
198,101577,622,244.71,987,23.15
199,102370,73,19.32,992,23.37
200,102395,51,15.86,997,23.15
201,102619,82,20.36,1002,23.15
202,102713,126,24.09,1007,23.15
203,102760,408,90.57,1013,23.15
204,103627,63,17.91,1018,23.15
205,103699,358,69.10,1024,23.15
206,104379,88,20.96,1029,23.15
207,104905,227,38.83,1034,23.15
208,105331,135,24.92,1039,23.15
209,107319,88,20.96,1045,23.15
210,107487,97,21.75,1050,23.37
211,108460,265,45.75,1055,23.15
212,108577,56,16.76,1061,23.37
213,108934,579,187.32,1066,23.15
214,110238,62,17.75,1072,23.15
215,110399,53,16.22,1078,23.15
216,112417,81,20.25,1083,23.05
217,113114,252,43.42,1088,23.37
218,113277,97,21.75,1094,23.15
219,114824,56,16.76,1099,23.15
220,115646,78,19.92,1104,23.15
221,115811,271,46.93,1109,23.15
222,116344,435,104.92,1115,23.37
223,117854,78,19.92,1120,23.15
224,118131,99,21.91,1125,23.15
225,118369,300,52.79,1130,23.15
226,118736,50,15.67,1135,23.15
227,119196,76,19.69,1140,23.15
228,120030,83,20.46,1145,23.37
229,120252,112,22.94,1150,23.15
230,120675,281,48.90,1155,23.37
231,120768,254,43.77,1161,23.15
232,120825,224,38.29,1166,23.15
233,121435,83,20.46,1171,23.15
234,122904,60,17.43,1176,23.15
235,123601,92,21.32,1182,23.05
236,123809,81,20.25,1187,23.15
237,123852,62,17.75,1192,23.15
238,125344,280,48.67,1198,23.15
239,127299,323,58.48,1204,23.37
240,127528,359,69.86,1209,23.15
241,128081,103,22.23,1214,23.15
242,128944,88,20.96,1219,23.15
243,129158,99,21.91,1224,23.15
244,129654,71,19.06,1229,23.15
245,130132,126,24.09,1234,23.15
246,130196,70,18.93,1240,23.15
247,131268,49,15.48,1245,23.15
248,131598,57,16.93,1250,23.37
249,131705,89,21.05,1255,23.37
250,131821,75,19.57,1260,23.15
251,131901,81,20.25,1265,23.15
252,132060,419,97.20,1270,23.15
253,132210,71,19.06,1275,23.15
254,133568,270,46.71,1280,23.48
255,133899,60,17.43,1286,23.15
256,133939,67,18.51,1292,23.15
257,134554,63,17.91,1298,23.37
258,134619,63,17.91,1304,23.15
259,134762,79,20.03,1310,23.37
260,134791,63,17.91,1315,23.15
261,135999,51,15.86,1321,23.15
262,136239,71,19.06,1326,23.37
263,137442,76,19.69,1331,23.15
264,137522,53,16.22,1336,23.15
265,138109,60,17.43,1341,23.37
266,138542,124,23.92,1347,23.15
267,138551,270,46.71,1353,23.15
268,139272,67,18.51,1359,23.15
269,139776,71,19.06,1365,23.15
270,140021,56,16.76,1370,23.15
271,140102,70,18.93,1375,23.15
272,140168,96,21.67,1380,23.15
273,140226,97,21.75,1385,23.15
274,141587,88,20.96,1390,23.15
275,141887,156,27.28,1395,23.37
276,142255,71,19.06,1400,23.48
277,142985,99,21.91,1405,23.15
278,143183,97,21.75,1410,23.37
279,143339,112,22.94,1415,23.48
280,143400,60,17.43,1420,23.15
281,143432,371,73.82,1426,23.15
282,143550,178,30.40,1431,23.15
283,143645,318,57.28,1436,23.15
284,144058,339,62.98,1441,23.37
285,144368,175,29.94,1446,23.15
286,144668,365,71.38,1451,23.15
287,144871,88,20.96,1456,23.37
288,144919,268,46.26,1461,23.15
289,145283,59,17.27,1467,23.15
290,145511,63,17.91,1472,23.48
291,146190,124,23.92,1478,23.15
292,146655,67,18.51,1484,23.15
293,146863,79,20.03,1490,23.15
294,147637,63,17.91,1495,23.37
295,148182,61,17.60,1501,23.37
296,148399,49,15.48,1507,23.37
297,148653,138,25.22,1512,23.15
298,149431,376,76.43,1518,23.15
299,149630,377,76.28,1523,23.15
300,149957,71,19.06,1528,23.15
301,149990,62,17.75,1533,23.15
302,150073,143,25.74,1539,23.69
303,150420,368,72.93,1544,23.15
304,150548,60,17.43,1549,23.15
305,151080,79,20.03,1555,23.48
306,152890,71,19.06,1560,23.15
307,153269,499,141.24,1565,23.37
308,153337,94,21.50,1571,23.15
309,154145,127,24.18,1576,23.15
310,155277,141,25.53,1581,23.15
311,155677,252,43.42,1586,23.37
312,156438,73,19.32,1592,23.15
313,156881,60,17.43,1597,23.15
314,156922,57,16.93,1603,23.37
315,157187,368,72.93,1608,23.15
316,157500,69,18.79,1613,23.15
317,157753,97,21.75,1618,23.15
318,159043,48,15.29,1623,23.37
319,159879,63,17.91,1628,23.37
320,160300,61,17.60,1634,23.37
321,160371,51,15.86,1640,23.37
322,160397,63,17.91,1645,23.05
323,160458,270,46.71,1651,23.15
324,160651,657,260.46,1657,23.15
325,161771,127,24.18,1662,23.15
326,161880,57,16.93,1667,23.15
327,162000,50,15.67,1672,23.15
328,162586,261,45.09,1677,23.15
329,162947,787,674.49,1683,23.37
330,164087,67,18.51,1688,23.15
331,164268,143,25.74,1694,23.48
332,164416,71,19.06,1699,23.15
333,164642,60,17.43,1704,23.37
334,164653,66,18.36,1710,23.15
335,165166,53,16.22,1716,23.15
336,165228,131,24.54,1721,23.15
337,166321,263,45.37,1727,23.15
338,167316,49,15.48,1733,23.37
339,168351,81,20.25,1738,23.15
340,168766,83,20.46,1743,23.15
341,169072,265,45.75,1748,23.15
342,169329,83,20.46,1754,23.48
343,170928,71,19.06,1759,23.58
