Event,Ardn_time_ms,ADC,SiPM_mV,Deadtime_ms,Temp_C
186,98565,143,25.74,925,23.05
187,99193,135,24.92,930,23.05
188,99280,63,17.91,935,23.05
189,100004,63,17.91,940,23.15
190,100441,117,23.34,945,23.05
191,100922,127,24.18,950,23.05
192,101174,199,33.86,955,23.05
193,101406,496,144.49,960,23.05
194,102542,262,45.24,966,23.15
195,102580,204,34.73,972,23.05
196,103428,69,18.79,977,22.94
197,103820,63,17.91,982,23.05
198,103878,61,17.60,987,23.37
199,104004,110,22.78,992,23.15
200,104099,73,19.32,997,23.15
201,105641,57,16.93,1002,22.83
202,105783,238,40.82,1007,23.05
203,105886,63,17.91,1013,23.15
204,106173,169,29.05,1019,22.94
205,106212,211,35.96,1024,23.15
206,106685,83,20.46,1029,22.94
207,107009,85,20.67,1034,23.05
208,107079,51,15.86,1039,23.15
209,108059,57,16.93,1044,22.94
210,108249,69,18.79,1049,23.15
211,110019,67,18.51,1054,22.94
212,110277,101,22.08,1060,23.15
213,110701,63,17.91,1065,22.94
214,110736,430,101.41,1071,23.15
215,111335,152,26.78,1076,23.15
216,111995,159,27.66,1081,23.15
217,112880,79,20.03,1086,23.05
218,113094,207,35.26,1091,23.15
219,113538,312,55.68,1096,23.05
220,114530,83,20.46,1101,22.83
221,114771,207,35.26,1106,23.15
222,115012,92,21.32,1111,23.05
223,115407,79,20.03,1116,22.94
224,115463,81,20.25,1121,23.15
225,115806,521,150.31,1126,22.94
226,115847,57,16.93,1132,22.83
227,116190,81,20.25,1137,23.05
228,116656,76,19.69,1142,22.94
229,117602,63,17.91,1147,22.94
230,117856,51,15.86,1153,23.15
231,118251,94,21.50,1158,22.94
232,118438,250,43.04,1163,22.83
233,118923,51,15.86,1169,23.15
234,118949,78,19.92,1174,22.94
235,119077,110,22.78,1179,22.94
236,120737,56,16.76,1184,22.94
237,123242,62,17.75,1189,23.15
238,123769,75,19.57,1195,23.15
239,123887,192,32.67,1200,22.72
240,126304,85,20.67,1205,23.05
241,126777,79,20.03,1210,23.05
242,127001,71,19.06,1215,23.15
243,127039,96,21.67,1220,22.94
244,127968,399,87.30,1225,22.94
