Event,Ardn_time_ms,ADC,SiPM_mV,Deadtime_ms,Temp_C
186,86506,193,32.84,926,23.37
187,87156,179,30.55,931,23.37
188,87487,56,16.76,936,23.58
189,87640,504,143.61,941,23.37
190,88825,89,21.05,946,23.37
191,89316,201,34.22,951,23.91
192,89690,335,61.77,956,23.80
193,89826,56,16.76,961,23.69
194,89947,275,47.73,966,23.58
195,90295,277,48.09,971,23.15
196,90847,284,49.41,976,23.69
197,91023,112,22.94,981,23.48
198,91920,209,35.61,986,23.48
199,92126,414,93.93,991,23.37
200,92388,51,15.86,996,23.37
201,92515,399,87.30,1001,23.37
202,92925,57,16.93,1006,23.58
203,94569,236,40.44,1011,23.15
204,94699,57,16.93,1016,23.37
205,95693,403,88.99,1021,23.58
206,95810,60,17.43,1026,23.69
207,97931,74,19.44,1031,23.37
208,98355,57,16.93,1036,23.48
209,98425,432,101.61,1041,23.37
210,98832,124,23.92,1046,23.48
211,98856,60,17.43,1052,23.15
212,99883,56,16.76,1058,23.58
213,100036,71,19.06,1063,23.37
214,100523,99,21.91,1068,23.37
215,100666,176,30.09,1073,23.37
216,101212,63,17.91,1078,23.48
217,101420,92,21.32,1084,23.15
218,101427,63,17.91,1089,23.48
219,101728,50,15.67,1095,23.48
220,102068,499,141.24,1100,23.15
221,102127,159,27.66,1106,23.58
222,102180,51,15.86,1111,23.15
223,102246,551,164.56,1116,23.15
224,102370,88,20.96,1122,23.15
225,102557,329,59.91,1127,23.48
226,102564,89,21.05,1132,23.69
227,103567,96,21.67,1137,23.48
228,103960,462,120.87,1142,23.48
229,104068,121,23.66,1148,23.58
230,104359,113,23.02,1154,23.69
231,104848,63,17.91,1159,23.15
232,105217,71,19.06,1165,23.58
233,106162,120,23.58,1170,23.15
234,106736,49,15.48,1176,23.58
235,107697,71,19.06,1181,23.58
236,107977,51,15.86,1186,23.69
237,108791,78,19.92,1191,23.37
238,108882,81,20.25,1196,23.37
239,109041,51,15.86,1201,23.48
240,109160,167,28.76,1206,23.37
241,109231,63,17.91,1211,23.37
242,109266,60,17.43,1217,23.48
243,109329,198,33.69,1223,23.37
244,109589,117,23.34,1228,23.58
245,110032,82,20.36,1234,23.80
246,110943,99,21.91,1239,23.48
247,112029,63,17.91,1244,23.15
248,112056,670,272.62,1250,23.15
249,112721,192,32.67,1255,23.58
250,113041,63,17.91,1260,23.37
251,115387,67,18.51,1266,23.37
252,115633,216,36.85,1272,24.01
253,115994,71,19.06,1277,23.37
254,116248,159,27.66,1282,23.48
255,116928,56,16.76,1287,23.37
256,117041,67,18.51,1292,23.58
257,117079,467,121.56,1298,23.37
258,117187,58,17.10,1303,23.58
259,118273,67,18.51,1308,23.58
260,118330,61,17.60,1314,23.69
261,118767,88,20.96,1320,23.69
262,119013,472,125.87,1325,23.37
263,119349,63,17.91,1331,23.80
264,119566,355,68.30,1337,23.37
265,119599,248,42.69,1342,23.48
266,120522,96,21.67,1348,23.80
267,120845,62,17.75,1353,23.37
268,121105,195,33.17,1359,23.37
269,121698,83,20.46,1364,23.15
270,122572,88,20.96,1369,23.48
271,123063,73,19.32,1374,23.69
272,123147,403,88.99,1379,23.58
273,123418,51,15.86,1384,23.37
274,123834,83,20.46,1389,23.37
275,124343,206,35.07,1394,23.58
276,125127,88,20.96,1399,23.48
277,126559,49,15.48,1404,23.48
278,126663,69,18.79,1409,23.15
279,127479,96,21.67,1415,23.48
280,128349,58,17.10,1420,23.37
281,129431,53,16.22,1425,23.58
282,129870,103,22.23,1430,23.15
283,130319,344,64.67,1435,23.48
284,130574,293,51.29,1440,23.58
285,130734,71,19.06,1445,23.37
286,131512,409,91.12,1450,23.69
287,131805,51,15.86,1455,23.37
288,132395,76,19.69,1460,23.37
289,132733,117,23.34,1465,23.48
290,132786,259,44.69,1471,23.15
291,135057,89,21.05,1477,23.37
292,135797,135,24.92,1482,23.37
293,135834,486,135.98,1488,23.80
294,136153,62,17.75,1494,23.58
295,136866,98,21.83,1500,23.37
296,137187,83,20.46,1505,23.58
297,137251,179,30.55,1510,23.15
298,137563,386,80.48,1515,23.69
299,137698,66,18.36,1520,23.37
300,138037,57,16.93,1526,23.48
301,138180,230,39.39,1531,23.37
302,138777,69,18.79,1536,23.37
303,138829,159,27.66,1542,23.48
304,139058,81,20.25,1547,23.58
305,139308,487,132.65,1552,23.37
306,139573,316,56.81,1558,23.48
307,139677,50,15.67,1563,23.58
308,140246,60,17.43,1568,23.69
309,141859,163,28.20,1574,23.58
310,141876,188,32.01,1579,23.69
311,142499,67,18.51,1584,23.37
312,143293,271,46.93,1590,23.69
313,143654,60,17.43,1596,23.69
314,143869,56,16.76,1602,23.69
315,144906,107,22.55,1607,23.80
316,145144,76,19.69,1612,23.15
