Event,Ardn_time_ms,ADC,SiPM_mV,Deadtime_ms,Temp_C
186,99796,60,17.43,925,22.19
187,99960,71,19.06,930,22.19
188,102171,483,132.60,935,22.29
189,103572,60,17.43,940,22.19
190,103620,57,16.93,945,22.19
191,103783,71,19.06,950,22.19
192,104310,62,17.75,955,22.19
193,104801,236,40.44,960,22.19
194,105085,142,25.64,965,22.19
195,105355,508,144.95,970,22.29
196,106079,79,20.03,975,22.19
197,107914,96,21.67,980,22.19
198,108292,463,119.23,985,22.19
199,108318,63,17.91,990,22.19
200,108464,369,73.42,996,22.19
201,109460,99,21.91,1001,22.19
202,109825,51,15.86,1006,22.19
203,110407,92,21.32,1011,22.19
204,110725,51,15.86,1016,22.19
205,111078,99,21.91,1021,22.19
206,111129,547,162.22,1026,22.19
207,111272,153,26.90,1032,22.19
208,111450,440,109.25,1037,22.29
209,111890,255,43.96,1042,22.29
210,111913,76,19.69,1047,22.19
211,112702,238,40.82,1052,22.19
212,112957,92,21.32,1058,22.19
213,113412,99,21.91,1063,22.29
214,114044,67,18.51,1068,22.19
215,114594,590,200.72,1074,22.19
216,115219,63,17.91,1079,22.19
217,115312,135,24.92,1085,22.29
218,116749,295,51.75,1091,22.19
219,117402,227,38.83,1096,22.29
220,118073,101,22.08,1101,22.19
221,120005,444,109.09,1106,22.19
222,120315,67,18.51,1111,22.29
223,121729,63,17.91,1117,22.19
224,123807,63,17.91,1123,22.19
225,124275,88,20.96,1129,22.19
226,125127,127,24.18,1134,22.19
227,125178,63,17.91,1139,22.19
228,126086,63,17.91,1145,22.19
229,126458,633,241.23,1151,22.19
230,126498,113,23.02,1156,22.19
231,126918,120,23.58,1161,22.19
232,126940,184,31.36,1167,22.19
233,127032,77,19.81,1172,22.19
234,128283,57,16.93,1177,22.19
235,128585,79,20.03,1182,22.29
236,128720,102,22.15,1187,22.19
237,129832,131,24.54,1192,22.19
238,130190,451,113.08,1198,22.19
239,130287,103,22.23,1203,22.19
240,132374,752,487.99,1208,22.19
241,133104,71,19.06,1213,22.19
242,133326,193,32.84,1218,22.19
243,134003,131,24.54,1223,22.19
244,134027,79,20.03,1229,22.19
245,134153,185,31.51,1234,22.19
246,134184,344,64.67,1239,22.19
247,134793,89,21.05,1244,22.19
248,135018,71,19.06,1249,22.29
249,135042,51,15.86,1254,22.19
250,135199,255,43.96,1259,22.19
251,135931,63,17.91,1264,22.19
252,136630,50,15.67,1270,22.29
253,136690,67,18.51,1275,22.19
254,137699,143,25.74,1281,22.29
255,137911,88,20.96,1286,22.19
256,138096,221,37.76,1291,22.19
257,138343,231,39.55,1296,22.19
258,138441,109,22.70,1301,22.19
259,138639,216,36.85,1306,22.19
260,139450,525,158.65,1311,22.19
261,142028,97,21.75,1317,22.19
262,142127,211,35.96,1322,22.19
263,144106,207,35.26,1327,22.19
264,144633,333,61.18,1332,22.29
265,144748,317,56.91,1337,22.19
266,144914,56,16.76,1342,22.19
267,145866,211,35.96,1347,22.19
268,146393,286,49.78,1352,22.29
269,146560,707,320.63,1357,22.19
270,146638,166,28.62,1362,22.19
271,146928,295,51.75,1367,22.29
272,147656,103,22.23,1372,22.19
273,148088,96,21.67,1377,22.29
274,148295,51,15.86,1382,22.29
275,148683,51,15.86,1387,22.19
276,149229,99,21.91,1392,22.19
277,149355,287,50.23,1397,22.19
278,149415,483,132.60,1402,22.19
279,149651,78,19.92,1408,22.19
280,149943,135,24.92,1413,22.29
281,149959,230,39.39,1419,22.29
282,150757,465,122.12,1425,22.19
283,151010,89,21.05,1430,22.29
284,151441,78,19.92,1435,22.29
285,152417,51,15.86,1440,22.29
286,152546,335,61.77,1445,22.19
287,153393,240,41.21,1450,22.29
288,153679,462,120.87,1456,22.29
289,153789,82,20.36,1462,22.19
290,154368,78,19.92,1467,22.29
291,154404,56,16.76,1472,22.19
292,154455,53,16.22,1477,22.19
293,155645,163,28.20,1482,22.29
294,157579,391,82.35,1487,22.19
295,157926,67,18.51,1492,22.29
296,158059,88,20.96,1498,22.19
297,158186,389,81.58,1503,22.19
298,158636,352,66.89,1508,22.29
299,158779,344,64.67,1513,22.19
300,158845,108,22.63,1518,22.19
301,158963,63,17.91,1523,22.29
302,159375,489,138.11,1529,22.29
303,160957,56,16.76,1535,22.19
304,161014,266,46.00,1540,22.29
305,161022,101,22.08,1546,22.29
306,161427,56,16.76,1551,22.29
307,162702,99,21.91,1556,22.29
308,165312,504,143.61,1561,22.19
309,166308,56,16.76,1567,22.29
310,166985,88,20.96,1572,22.40
311,166999,60,17.43,1577,22.19
312,167326,51,15.86,1583,22.19
313,167441,135,24.92,1588,22.19
314,167597,496,144.49,1594,22.29
315,169009,103,22.23,1600,22.29
316,169200,204,34.73,1605,22.19
317,169603,51,15.86,1610,22.40
318,170532,66,18.36,1615,22.40
319,171204,83,20.46,1621,22.19
320,171269,57,16.93,1626,22.19
321,171639,231,39.55,1631,22.40
322,171909,60,17.43,1636,22.19
323,171927,287,50.23,1642,22.19
324,172405,568,189.84,1647,22.19
325,172504,70,18.93,1653,22.29
326,173021,280,48.67,1659,22.29
327,173116,140,25.42,1665,22.29
328,174824,56,16.76,1671,22.29
329,175072,88,20.96,1676,22.29
330,175308,270,46.71,1681,22.40
331,175661,600,203.87,1687,22.29
332,176540,79,20.03,1692,22.29
333,176989,96,21.67,1697,22.19
334,177479,323,58.48,1702,22.19
335,178450,53,16.22,1707,22.29
336,178659,61,17.60,1712,22.19
337,179502,243,41.74,1718,22.40
338,179908,71,19.06,1724,22.19
339,180033,92,21.32,1729,22.29
340,180128,92,21.32,1734,22.29
341,180436,56,16.76,1739,22.29
342,180891,255,43.96,1744,22.40
343,181374,56,16.76,1749,22.40
344,181441,56,16.76,1754,22.40
345,181915,300,52.79,1759,22.29
346,182408,109,22.70,1764,22.29
347,182600,103,22.23,1769,22.40
348,182807,408,90.57,1774,22.29
349,184258,88,20.96,1779,22.29
350,184727,177,30.25,1784,22.40
351,185057,124,23.92,1789,22.40
352,187693,270,46.71,1795,22.29
353,187801,106,22.47,1801,22.40
354,188826,78,19.92,1806,22.29
355,189291,319,57.64,1811,22.29
356,189425,60,17.43,1816,22.40
357,189515,57,16.93,1822,22.29
358,189640,255,43.96,1827,22.19
359,189978,216,36.85,1832,22.40
360,190008,81,20.25,1837,22.40
361,190093,167,28.76,1842,22.29
362,190533,56,16.76,1847,22.29
363,190691,252,43.42,1852,22.29
364,191047,57,16.93,1858,22.29
365,191283,56,16.76,1863,22.40
366,191887,127,24.18,1868,22.29
367,192120,62,17.75,1873,22.40
368,192849,103,22.23,1879,22.19
369,193475,67,18.51,1884,22.19
370,193668,57,16.93,1890,22.40
371,193729,88,20.96,1895,22.29
372,194172,71,19.06,1900,22.29
373,194421,92,21.32,1905,22.19
374,194867,92,21.32,1910,22.19
375,195019,89,21.05,1915,22.29
376,195120,152,26.78,1920,22.29
377,195481,63,17.91,1925,22.19
378,195730,115,23.18,1931,22.29
379,196140,432,101.61,1936,22.29
380,197551,242,41.58,1941,22.19
381,197598,51,15.86,1947,22.19
382,197884,211,35.96,1952,22.19
383,198471,108,22.63,1957,22.19
384,198479,348,65.64,1962,22.29
385,198544,348,65.64,1967,22.19
386,200343,63,17.91,1972,22.19
387,200396,102,22.15,1978,22.29
